Date,Time,Enter/Exit,Current Price,Sent Price,Symbol,Quantity,Action,Direction,Slip from TV
2025-01-28,02:04:11,entry,21356.0,21356.0,NQ1!,1,buy,long,0.0
2025-01-28,02:05:11,exit,21348.0,21348.0,NQ1!,1,sell,flat,0.0
2025-01-28,02:22:12,entry,21312.0,21312.0,NQ1!,1,buy,long,0.0
2025-01-28,02:26:17,exit,21308.0,21308.0,NQ1!,1,sell,flat,0.0
2025-01-28,02:29:05,entry,21304.0,21304.0,NQ1!,1,sell,short,0.0
2025-01-28,02:30:33,exit,21312.0,21312.0,NQ1!,1,buy,flat,0.0
2025-01-28,03:38:06,entry,21372.0,21372.0,NQ1!,1,buy,long,0.0
2025-01-28,03:39:59,exit,21364.0,21364.0,NQ1!,1,sell,flat,0.0
2025-01-28,05:18:53,entry,21388.0,21388.0,NQ1!,1,sell,short,0.0
2025-01-28,05:27:11,exit,21380.0,21380.0,NQ1!,1,buy,flat,0.0
2025-01-28,05:40:06,entry,21352.0,21352.0,NQ1!,1,buy,long,0.0
2025-01-28,05:46:47,exit,21348.0,21348.0,NQ1!,1,sell,flat,0.0
2025-01-28,05:58:09,entry,21336.0,21336.0,NQ1!,1,sell,short,0.0
2025-01-28,06:02:31,exit,21316.0,21316.0,NQ1!,1,buy,flat,0.0
2025-01-28,06:18:57,entry,21276.0,21276.0,NQ1!,1,sell,short,0.0
2025-01-28,06:20:13,exit,21268.0,21268.0,NQ1!,1,buy,flat,0.0
2025-01-28,06:30:23,entry,21268.0,21268.0,NQ1!,1,sell,short,0.0
2025-01-28,06:32:09,exit,21272.0,21272.0,NQ1!,1,buy,flat,0.0
2025-01-28,06:34:03,entry,21272.0,21272.0,NQ1!,1,buy,long,0.0
2025-01-28,06:38:21,exit,21292.0,21292.0,NQ1!,1,sell,flat,0.0
2025-01-28,06:40:14,entry,21284.0,21284.0,NQ1!,1,sell,short,0.0
2025-01-28,06:42:10,exit,21288.0,21288.0,NQ1!,1,buy,flat,0.0
2025-01-28,06:52:04,entry,21300.0,21300.0,NQ1!,1,buy,long,0.0
2025-01-28,07:00:30,exit,21312.0,21312.0,NQ1!,1,sell,flat,0.0
2025-01-28,07:07:38,entry,21292.0,21292.0,NQ1!,1,sell,short,0.0
2025-01-28,07:11:14,exit,21300.0,21300.0,NQ1!,1,buy,flat,0.0
2025-01-28,07:16:18,entry,21320.0,21320.0,NQ1!,1,buy,long,0.0
2025-01-28,07:20:29,exit,21316.0,21316.0,NQ1!,1,sell,flat,0.0
2025-01-28,07:31:26,entry,21332.0,21332.0,NQ1!,1,sell,short,0.0
2025-01-28,07:33:29,exit,21320.0,21320.0,NQ1!,1,buy,flat,0.0
2025-01-28,08:07:30,entry,21284.0,21284.0,NQ1!,1,sell,short,0.0
2025-01-28,08:11:52,exit,21288.0,21288.0,NQ1!,1,buy,flat,0.0
2025-01-28,08:31:21,entry,21284.0,21284.0,NQ1!,1,sell,short,0.0
2025-01-28,08:31:36,exit,21264.0,21264.0,NQ1!,1,buy,flat,0.0
2025-01-28,08:33:06,entry,21268.0,21268.0,NQ1!,1,buy,long,0.0
2025-01-28,08:33:21,exit,21256.0,21256.0,NQ1!,1,sell,flat,0.0
2025-01-28,08:34:30,entry,21260.0,21260.0,NQ1!,1,sell,short,0.0
2025-01-28,08:35:29,exit,21256.0,21256.0,NQ1!,1,buy,flat,0.0
2025-01-28,08:41:22,entry,21204.0,21204.0,NQ1!,1,sell,short,0.0
2025-01-28,08:42:33,exit,21192.0,21192.0,NQ1!,1,buy,flat,0.0
2025-01-28,08:45:18,entry,21204.0,21204.0,NQ1!,1,buy,long,0.0
2025-01-28,08:46:29,exit,21200.0,21200.0,NQ1!,1,sell,flat,0.0
2025-01-28,08:46:48,entry,21180.0,21180.0,NQ1!,1,sell,short,0.0
2025-01-28,08:47:05,exit,21176.0,21176.0,NQ1!,1,buy,flat,0.0
2025-01-28,08:49:35,entry,21188.0,21188.0,NQ1!,1,buy,long,0.0
2025-01-28,08:50:18,exit,21208.0,21208.0,NQ1!,1,sell,flat,0.0
2025-01-28,08:50:59,entry,21188.0,21188.0,NQ1!,1,sell,short,0.0
2025-01-28,08:51:07,exit,21196.0,21196.0,NQ1!,1,buy,flat,0.0
2025-01-28,08:51:33,entry,21216.0,21216.0,NQ1!,1,buy,long,0.0
2025-01-28,08:51:59,exit,21232.0,21232.0,NQ1!,1,sell,flat,0.0
2025-01-28,08:55:17,entry,21268.0,21268.0,NQ1!,1,buy,long,0.0
2025-01-28,08:55:17,exit,21272.0,21272.0,NQ1!,1,sell,flat,0.0
2025-01-28,08:56:56,entry,21280.0,21280.0,NQ1!,1,buy,long,0.0
2025-01-28,08:59:03,exit,21272.0,21272.0,NQ1!,1,sell,flat,0.0
2025-01-28,09:00:28,entry,21292.0,21292.0,NQ1!,1,buy,long,0.0
2025-01-28,09:01:29,exit,21324.0,21324.0,NQ1!,1,sell,flat,0.0
2025-01-28,09:31:05,entry,21456.0,21456.0,NQ1!,1,sell,short,0.0
2025-01-28,09:32:12,exit,21456.0,21456.0,NQ1!,1,buy,flat,0.0
2025-01-28,09:37:20,entry,21424.0,21424.0,NQ1!,1,buy,long,0.0
2025-01-28,09:38:35,exit,21448.0,21448.0,NQ1!,1,sell,flat,0.0
2025-01-28,09:41:51,entry,21440.0,21440.0,NQ1!,1,sell,short,0.0
2025-01-28,09:43:17,exit,21428.0,21428.0,NQ1!,1,buy,flat,0.0
2025-01-28,09:46:25,entry,21420.0,21420.0,NQ1!,1,buy,long,0.0
2025-01-28,09:47:40,exit,21416.0,21416.0,NQ1!,1,sell,flat,0.0
2025-01-28,09:52:53,entry,21424.0,21424.0,NQ1!,1,sell,short,0.0
2025-01-28,09:54:00,exit,21416.0,21416.0,NQ1!,1,buy,flat,0.0
2025-01-28,09:56:42,entry,21424.0,21424.0,NQ1!,1,buy,long,0.0
2025-01-28,10:01:14,exit,21460.0,21460.0,NQ1!,1,sell,flat,0.0
2025-01-28,10:01:51,entry,21444.0,21444.0,NQ1!,1,sell,short,0.0
2025-01-28,10:02:35,exit,21432.0,21432.0,NQ1!,1,buy,flat,0.0
2025-01-28,10:04:49,entry,21444.0,21444.0,NQ1!,1,buy,long,0.0
2025-01-28,10:06:58,exit,21456.0,21456.0,NQ1!,1,sell,flat,0.0
2025-01-28,10:13:57,entry,21452.0,21452.0,NQ1!,1,sell,short,0.0
