symbol,_tickSize,qty,buyPrice,sellPrice,boughtTimestamp,soldTimestamp,duration,pnl,tradeNumber,cummulative
NQH5,0.25,1,21356,21348,1/28/2025 2:04,1/28/2025 2:05,1min 0sec,($160.00),1,($160.00)
NQH5,0.25,1,21312,21308,1/28/2025 2:22,1/28/2025 2:26,4min 5sec,($80.00),2,($240.00)
NQH5,0.25,1,21312,21304,1/28/2025 2:30,1/28/2025 2:29,-88sec,($160.00),3,($400.00)
NQH5,0.25,1,21372,21364,1/28/2025 3:38,1/28/2025 3:39,1min 53sec,($160.00),4,($560.00)
NQH5,0.25,1,21380,21388,1/28/2025 5:27,1/28/2025 5:18,-498sec,$160.00 ,5,($400.00)
NQH5,0.25,1,21352,21348,1/28/2025 5:40,1/28/2025 5:46,6min 41sec,($80.00),6,($480.00)
NQH5,0.25,1,21316,21336,1/28/2025 6:02,1/28/2025 5:58,-262sec,$400.00 ,7,($80.00)
NQH5,0.25,1,21268,21276,1/28/2025 6:20,1/28/2025 6:18,-76sec,$160.00 ,8,$80.00 
NQH5,0.25,1,21272,21268,1/28/2025 6:32,1/28/2025 6:30,-106sec,($80.00),9,$0.00 
NQH5,0.25,1,21272,21292,1/28/2025 6:34,1/28/2025 6:38,4min 18sec,$400.00 ,10,$400.00 
NQH5,0.25,1,21288,21284,1/28/2025 6:42,1/28/2025 6:40,-116sec,($80.00),11,$320.00 
NQH5,0.25,1,21300,21312,1/28/2025 6:52,1/28/2025 7:00,8min 26sec,$240.00 ,12,$560.00 
NQH5,0.25,1,21300,21292,1/28/2025 7:11,1/28/2025 7:07,-216sec,($160.00),13,$400.00 
NQH5,0.25,1,21320,21316,1/28/2025 7:16,1/28/2025 7:20,4min 11sec,($80.00),14,$320.00 
NQH5,0.25,1,21320,21332,1/28/2025 7:33,1/28/2025 7:31,-123sec,$240.00 ,15,$560.00 
NQH5,0.25,1,21288,21284,1/28/2025 8:11,1/28/2025 8:07,-262sec,($80.00),16,$480.00 
NQH5,0.25,1,21264,21284,1/28/2025 8:31,1/28/2025 8:31,-15sec,$400.00 ,17,$880.00 
NQH5,0.25,1,21268,21256,1/28/2025 8:33,1/28/2025 8:33,15sec,($240.00),18,$640.00 
NQH5,0.25,1,21256,21260,1/28/2025 8:35,1/28/2025 8:34,-59sec,$80.00 ,19,$720.00 
NQH5,0.25,1,21192,21204,1/28/2025 8:42,1/28/2025 8:41,-71sec,$240.00 ,20,$960.00 
NQH5,0.25,1,21204,21200,1/28/2025 8:45,1/28/2025 8:46,1min 11sec,($80.00),21,$880.00 
NQH5,0.25,1,21176,21180,1/28/2025 8:47,1/28/2025 8:46,-17sec,$80.00 ,22,$960.00 
NQH5,0.25,1,21188,21208,1/28/2025 8:49,1/28/2025 8:50,43sec,$400.00 ,23,"$1,360.00 "
NQH5,0.25,1,21196,21188,1/28/2025 8:51,1/28/2025 8:50,-8sec,($160.00),24,"$1,200.00 "
NQH5,0.25,1,21216,21232,1/28/2025 8:51,1/28/2025 8:51,26sec,$320.00 ,25,"$1,520.00 "
NQH5,0.25,1,21268,21272,1/28/2025 8:55,1/28/2025 8:55,0sec,$80.00 ,26,"$1,600.00 "
NQH5,0.25,1,21280,21272,1/28/2025 8:56,1/28/2025 8:59,2min 7sec,($160.00),27,"$1,440.00 "
NQH5,0.25,1,21292,21324,1/28/2025 9:00,1/28/2025 9:01,1min 1sec,$640.00 ,28,"$2,080.00 "
NQH5,0.25,1,21456,21456,1/28/2025 9:32,1/28/2025 9:31,-67sec,$0.00 ,29,"$2,080.00 "
NQH5,0.25,1,21424,21448,1/28/2025 9:37,1/28/2025 9:38,1min 15sec,$480.00 ,30,"$2,560.00 "
NQH5,0.25,1,21428,21440,1/28/2025 9:43,1/28/2025 9:41,-86sec,$240.00 ,31,"$2,800.00 "
NQH5,0.25,1,21420,21416,1/28/2025 9:46,1/28/2025 9:47,1min 15sec,($80.00),32,"$2,720.00 "
NQH5,0.25,1,21416,21424,1/28/2025 9:54,1/28/2025 9:52,-67sec,$160.00 ,33,"$2,880.00 "
NQH5,0.25,1,21424,21460,1/28/2025 9:56,1/28/2025 10:01,4min 32sec,$720.00 ,34,"$3,600.00 "
NQH5,0.25,1,21432,21444,1/28/2025 10:02,1/28/2025 10:01,-44sec,$240.00 ,35,"$3,840.00 "
NQH5,0.25,1,21444,21456,1/28/2025 10:04,1/28/2025 10:06,2min 9sec,$240.00 ,36,"$4,080.00 "
NQH5,0.25,1,21456,21452,1/28/2025 10:15,1/28/2025 10:13,-81sec,($80.00),37,"$4,000.00 "
NQH5,0.25,1,21412,21428,1/28/2025 10:25,1/28/2025 10:24,-57sec,$320.00 ,38,"$4,320.00 "
NQH5,0.25,1,21400,21408,1/28/2025 10:29,1/28/2025 10:28,-59sec,$160.00 ,39,"$4,480.00 "
NQH5,0.25,1,21416,21416,1/28/2025 10:37,1/28/2025 10:38,56sec,$0.00 ,40,"$4,480.00 "
